Feature,Importance
HospitalStayMax,1.457773004970997
ClaimCount,1.1519455385871065
ReimbursementMedian,1.1456691641159729
ReimbursementTotal,0.8885616247647494
UniqueBeneficiaries,0.8578596729649832
HospitalStayMean,0.8079642484464039
ReimbursementPerBeneficiary,0.6854916462639888
DiagnosisCountMean,0.6737513977670844
ReimbursementMean,0.4460831252441446
ReimbursementPerClaim,0.4460831252441446
ReimbursementStd,0.35343946242899854
InpatientClaimCount,0.3286865308977153
ClaimsPerBeneficiary,0.2662140148101893
ReimbursementMax,0.2541489844207276
InpatientClaimRatio,0.2502942914647291
DeductibleMean,0.24350828688266202
UniquePrimaryProcedures,0.23905509133824612
PhysicianCountMean,0.2375606352345221
ProcedureCountMean,0.2337290339683765
DiagnosisDiversityRatio,0.2322544926794575
ChronicConditionMean,0.2242791647434764
DeductibleMax,0.22318719835693535
UniquePrimaryDiagnoses,0.22218953764317997
BeneficiaryAgeStd,0.19974912408983675
AnnualReimbursementMean,0.1988038817915377
UniqueAttendingPhysicians,0.17291927867962764
PhysicianDiversityRatio,0.1712764042695707
DeductibleTotal,0.10044227864718873
ClaimDurationMean,0.06675513427676692
AnnualDeductibleMean,0.058309337032331696
BeneficiaryAgeMean,0.05448081935479164
ProcedureDiversityRatio,0.040964773666098624
DeductibleToReimbursementRatio,0.018726828910288103
