,CorrelationWithFraud
ReimbursementTotal,0.5755575683279763
UniquePrimaryProcedures,0.5647683409331434
HospitalStayMax,0.5426623269828232
DeductibleTotal,0.532069612006058
InpatientClaimCount,0.5253931054046993
ReimbursementMax,0.5146714671813858
UniquePrimaryDiagnoses,0.4000361773671362
UniqueBeneficiaries,0.3935310970429305
ClaimCount,0.37419678045840343
DiagnosisDiversityRatio,-0.3679459236772976
ReimbursementStd,0.34796395810197556
DeductibleMax,0.32644129295163915
UniqueAttendingPhysicians,0.27677219394196156
ReimbursementPerBeneficiary,0.22388037026785818
InpatientClaimRatio,0.20568341933410533
DeductibleMean,0.20530768433691146
HospitalStayMean,0.19629259749579503
ReimbursementMean,0.19380263322419114
ReimbursementPerClaim,0.19380263322419114
DiagnosisCountMean,0.18990917963233503
ProcedureCountMean,0.18819353104182468
ProcedureDiversityRatio,0.15081477036625918
ClaimDurationMean,0.14980169354084025
AnnualReimbursementMean,0.14737861994037424
PhysicianDiversityRatio,-0.13318865000049357
AnnualDeductibleMean,0.12498707116433053
ChronicConditionMean,0.09819819752603587
DeductibleToReimbursementRatio,0.09605859633588108
ClaimsPerBeneficiary,0.09348237927724821
BeneficiaryAgeStd,0.07734463006807049
ReimbursementMedian,0.07334949600543801
PhysicianCountMean,0.03704712492188678
BeneficiaryAgeMean,0.0024779470052521384
