Provider,PotentialFraud,ClaimCount,UniqueBeneficiaries,ReimbursementTotal,ReimbursementMean,ReimbursementMedian,ReimbursementStd,ReimbursementMax,DeductibleTotal,DeductibleMean,DeductibleMax,InpatientClaimCount,InpatientClaimRatio,ClaimDurationMean,HospitalStayMean,HospitalStayMax,DiagnosisCountMean,ProcedureCountMean,PhysicianCountMean,BeneficiaryAgeMean,BeneficiaryAgeStd,ChronicConditionMean,AnnualReimbursementMean,AnnualDeductibleMean,UniqueAttendingPhysicians,UniquePrimaryDiagnoses,UniquePrimaryProcedures,ClaimsPerBeneficiary,ReimbursementPerBeneficiary,ReimbursementPerClaim,DeductibleToReimbursementRatio,PhysicianDiversityRatio,DiagnosisDiversityRatio,ProcedureDiversityRatio,FraudLabel
PRV51001,No,25,24,104640,4185.6,400.0,10796.09114448373,42000,5340.0,213.6,1068.0,5,0.2,2.44,1.2,15.0,3.2,0.12,1.6,78.84,12.012770982028528,5.56,20221.2,1361.04,14,23,2,1.0416666666666667,4360.0,4185.6,0.05103211009174312,0.56,0.92,0.08,0
PRV51003,Yes,132,117,605670,4588.409090909091,1750.0,7309.79472874617,57000,66286.0,502.1666666666667,1068.0,62,0.4696969696969697,4.674242424242424,2.893939393939394,28.0,5.25,0.36363636363636365,1.5303030303030303,70.02272727272727,13.409274396232224,4.545454545454546,10246.363636363636,1668.5454545454545,44,115,32,1.1282051282051282,5176.666666666667,4588.409090909091,0.10944243564977628,0.3333333333333333,0.8712121212121212,0.24242424242424243,1
PRV51004,No,149,138,52170,350.13422818791946,70.0,689.9637540197715,3300,310.0,2.0805369127516777,100.0,0,0.0,2.4295302013422817,0.0,0.0,2.5838926174496644,0.0,1.604026845637584,72.16107382550335,12.95525934842886,4.342281879194631,6546.778523489933,1057.7046979865772,38,128,0,1.0797101449275361,378.04347826086956,350.13422818791946,0.005942112325091048,0.2550335570469799,0.8590604026845637,0.0,0
PRV51005,Yes,1165,495,280910,241.1244635193133,70.0,491.55639186725836,4080,3700.0,3.1759656652360513,200.0,0,0.0,2.088412017167382,0.0,0.0,2.5888412017167384,0.0,1.5991416309012876,70.4755364806867,13.345029860748824,4.335622317596567,5733.725321888412,1015.4909871244636,6,809,0,2.3535353535353534,567.4949494949495,241.1244635193133,0.013171478409454986,0.005150214592274678,0.6944206008583691,0.0,1
PRV51007,No,72,58,33710,468.19444444444446,80.0,1433.7691157058027,10000,3264.0,45.333333333333336,1068.0,3,0.041666666666666664,1.9583333333333333,0.2638888888888889,8.0,2.986111111111111,0.013888888888888888,1.5277777777777777,69.29166666666667,14.67050072592261,4.166666666666667,4779.722222222223,914.7222222222222,10,71,1,1.2413793103448276,581.2068965517242,468.19444444444446,0.09682586769504598,0.1388888888888889,0.9861111111111112,0.013888888888888888,0
PRV51008,No,43,36,35630,828.6046511627907,90.0,3224.765463155236,21000,2316.0,53.86046511627907,1068.0,2,0.046511627906976744,2.5348837209302326,0.23255813953488372,6.0,3.1627906976744184,0.046511627906976744,1.5348837209302326,75.62790697674419,12.218298642013396,3.9069767441860463,9162.558139534884,1236.9767441860465,10,40,2,1.1944444444444444,989.7222222222222,828.6046511627907,0.06500140331181589,0.23255813953488372,0.9302325581395349,0.046511627906976744,0
PRV51011,No,58,53,16630,286.7241379310345,75.0,701.0478070917783,5000,1368.0,23.586206896551722,1068.0,1,0.017241379310344827,1.5517241379310345,0.10344827586206896,6.0,2.5344827586206895,0.0,1.5689655172413792,74.37931034482759,13.180032194150304,4.586206896551724,5814.137931034483,1041.0,28,49,0,1.0943396226415094,313.77358490566036,286.7241379310345,0.08226097414311485,0.4827586206896552,0.8448275862068966,0.0,0
PRV51012,No,48,31,16890,351.875,60.0,707.8936578689372,3300,100.0,2.0833333333333335,100.0,0,0.0,4.708333333333333,0.0,0.0,2.5625,0.0,1.4791666666666667,74.47916666666667,10.43722793419568,4.625,10729.375,1575.125,14,48,0,1.5483870967741935,544.8387096774194,351.875,0.005920663114268798,0.2916666666666667,1.0,0.0,0
PRV51013,No,46,44,14880,323.4782608695652,90.0,471.622341339171,1800,230.0,5.0,90.0,0,0.0,2.4565217391304346,0.0,0.0,2.5434782608695654,0.0,1.565217391304348,74.3913043478261,13.028990343537009,4.413043478260869,6862.173913043478,1508.0869565217392,9,43,0,1.0454545454545454,338.1818181818182,323.4782608695652,0.015456989247311828,0.1956521739130435,0.9347826086956522,0.0,0
PRV51014,No,30,25,10480,349.3333333333333,80.0,822.9841969963621,3300,120.0,4.0,70.0,0,0.0,1.4666666666666666,0.0,0.0,3.6666666666666665,0.0,1.9666666666666666,71.2,15.061712134209486,4.333333333333333,4528.666666666667,1076.5333333333333,7,30,0,1.2,419.2,349.3333333333333,0.011450381679389313,0.23333333333333334,1.0,0.0,0
PRV51015,No,8,7,700,87.5,65.0,74.01737247816507,200,0.0,0.0,0.0,0,0.0,1.375,0.0,0.0,3.125,0.0,1.625,72.125,11.506985456048612,6.375,2631.25,530.75,3,8,0,1.1428571428571428,100.0,87.5,0.0,0.375,1.0,0.0,0
PRV51016,No,6,6,170,28.333333333333332,10.0,37.638632635454044,90,0.0,0.0,0.0,0,0.0,1.3333333333333333,0.0,0.0,3.5,0.0,1.1666666666666667,70.66666666666667,13.83714806839425,5.5,878.3333333333334,295.0,3,6,0,1.0,28.333333333333332,28.333333333333332,0.0,0.5,1.0,0.0,0
PRV51017,No,515,420,142720,277.126213592233,80.0,570.1818038894331,3300,1050.0,2.0388349514563107,100.0,0,0.0,2.3572815533980584,0.0,0.0,2.704854368932039,0.003883495145631068,1.570873786407767,72.62135922330097,12.108552870744944,4.36504854368932,5693.708737864078,1074.7611650485437,113,410,2,1.2261904761904763,339.8095238095238,277.126213592233,0.007357062780269059,0.21941747572815534,0.7961165048543689,0.003883495145631068,0
PRV51021,Yes,257,208,348830,1357.3151750972763,100.0,4462.486890505439,57000,31492.0,122.53696498054475,1068.0,29,0.11284046692607004,3.0,0.6498054474708171,18.0,3.4280155642023344,0.08560311284046693,1.5214007782101167,73.09727626459144,13.201350560256556,4.715953307392996,7582.062256809339,1352.8326848249028,69,218,14,1.2355769230769231,1677.0673076923076,1357.3151750972763,0.09027893243127025,0.26848249027237353,0.8482490272373541,0.054474708171206226,1
PRV51023,No,36,35,65610,1822.5,400.0,3084.6980634832225,13000,8624.0,239.55555555555554,1068.0,9,0.25,4.666666666666667,1.1388888888888888,11.0,4.555555555555555,0.1388888888888889,1.8611111111111112,73.30555555555556,13.127548883266051,4.361111111111111,7795.833333333333,1612.888888888889,14,34,5,1.0285714285714285,1874.5714285714287,1822.5,0.13144337753391253,0.3888888888888889,0.9444444444444444,0.1388888888888889,0
PRV51024,No,39,38,64050,1642.3076923076924,70.0,3334.4891990563533,13000,9702.0,248.76923076923077,1068.0,9,0.23076923076923078,2.641025641025641,1.2307692307692308,11.0,3.5128205128205128,0.1794871794871795,1.641025641025641,68.66666666666667,14.65629617413143,4.717948717948718,6539.74358974359,1298.5641025641025,13,36,7,1.0263157894736843,1685.5263157894738,1642.3076923076924,0.15147540983606558,0.3333333333333333,0.9230769230769231,0.1794871794871795,0
PRV51025,No,87,76,118350,1360.344827586207,100.0,3052.031899721989,17000,14284.0,164.183908045977,1068.0,13,0.14942528735632185,3.1724137931034484,1.1954022988505748,29.0,3.67816091954023,0.13793103448275862,1.6781609195402298,74.08045977011494,12.846335456848172,4.436781609195402,7112.528735632184,1173.7931034482758,35,81,9,1.144736842105263,1557.2368421052631,1360.344827586207,0.12069286016054077,0.40229885057471265,0.9310344827586207,0.10344827586206896,0
PRV51026,No,76,56,19840,261.05263157894734,65.0,668.7831316600191,3300,340.0,4.473684210526316,100.0,0,0.0,2.0921052631578947,0.0,0.0,2.4078947368421053,0.0,1.5526315789473684,70.0657894736842,14.964255657012178,4.078947368421052,5782.631578947368,1141.4473684210527,29,70,0,1.3571428571428572,354.2857142857143,261.05263157894734,0.017137096774193547,0.3815789473684211,0.9210526315789473,0.0,0
